respid,WEIGHT,party,age_cat,educ,urbanicity,state,solar_general,solar_local,wind_local,solar_farm_nearby,main_concern
11357,0.8385,Democrat,18-29,College graduate or more,Suburban,Arkansas,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
11358,1.2079,Democrat,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11359,1.6628,Republican,30-49,High school or less,Rural,Missouri,Somewhat oppose,99,Somewhat oppose,Yes,Something else
11360,0.7835,Independent,65+,Some college,Urban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11361,1.2013,Independent,50-64,High school or less,Rural,Kansas,Somewhat oppose,Strongly favor,Somewhat oppose,No,No concerns
11362,0.4973,Republican,50-64,College graduate or more,Suburban,Arkansas,Strongly favor,Somewhat oppose,Strongly favor,No,Changes how the area looks
11363,0.7236,Independent,50-64,Some college,Urban,Arkansas,Strongly favor,Strongly favor,Somewhat oppose,No,Something else
11364,0.5426,Democrat,30-49,College graduate or more,Suburban,Arkansas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11365,0.4022,Democrat,50-64,College graduate or more,Rural,Texas,Strongly favor,Strongly oppose,Strongly oppose,No,Changes how the area looks
11366,0.5033,Republican,65+,College graduate or more,Suburban,Kansas,Strongly favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
11367,0.6825,Republican,18-29,College graduate or more,Urban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,Worried about property values
11368,1.382,Republican,50-64,High school or less,Suburban,Arkansas,Somewhat oppose,Somewhat oppose,Strongly oppose,Yes,Uses too much land
11369,1.3719,Republican,30-49,Some college,Rural,Arkansas,Strongly favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
11370,0.3981,Independent,50-64,College graduate or more,Suburban,Oklahoma,Strongly favor,Strongly oppose,Strongly oppose,Yes,Something else
11371,1.8855,Republican,18-29,Some college,Urban,Louisiana,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
11372,1.0725,Independent,30-49,College graduate or more,Rural,Texas,Strongly favor,Strongly favor,Strongly oppose,Yes,Changes how the area looks
11373,0.6334,Independent,30-49,College graduate or more,Suburban,Texas,Strongly favor,99,Strongly favor,No,No concerns
11374,0.3294,Democrat,65+,College graduate or more,Suburban,Louisiana,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11375,1.944,Independent,18-29,High school or less,Suburban,Arkansas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
11376,1.9525,Independent,18-29,Some college,Rural,Oklahoma,Somewhat oppose,Somewhat favor,Somewhat oppose,No,Worried about property values
11377,0.5855,Democrat,65+,High school or less,Suburban,Arkansas,Strongly oppose,Strongly oppose,Somewhat favor,No,Changes how the area looks
11378,1.6923,Democrat,18-29,Some college,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
11379,2.4279,Democrat,18-29,High school or less,Rural,Kansas,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
11380,1.2182,Republican,18-29,College graduate or more,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,No,Uses too much land
11381,0.6029,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11382,0.6222,Independent,30-49,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
11383,0.5575,Independent,50-64,Some college,Urban,Texas,Somewhat favor,Strongly favor,Strongly favor,No,Uses too much land
11384,0.5198,Republican,50-64,College graduate or more,Urban,Texas,Somewhat favor,Strongly oppose,Strongly oppose,Yes,Worried about property values
11385,0.7869,Democrat,50-64,High school or less,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
11386,1.3558,Republican,18-29,Some college,Urban,Texas,Somewhat oppose,Somewhat favor,Somewhat oppose,Yes,Something else
11387,1.3218,Democrat,18-29,Some college,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
11388,1.2877,Republican,30-49,High school or less,Suburban,Louisiana,Strongly favor,Strongly oppose,Strongly oppose,No,Doubts it is reliable
11389,1.0507,Democrat,30-49,Some college,Rural,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
11390,1.3818,Democrat,50-64,High school or less,Rural,Arkansas,Somewhat oppose,Strongly favor,Strongly favor,No,No concerns
11391,1.8358,Republican,18-29,Some college,Suburban,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
11392,1.1721,Republican,65+,High school or less,Rural,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Uses too much land
11393,1.1453,Democrat,18-29,Some college,Suburban,Louisiana,Strongly favor,99,Somewhat favor,No,No concerns
11394,0.8987,Independent,30-49,Some college,Urban,Arkansas,Strongly favor,Somewhat favor,Somewhat favor,No,Worried about property values
11395,1.681,Democrat,18-29,Some college,Suburban,Missouri,Somewhat favor,Somewhat favor,Strongly favor,Yes,Changes how the area looks
11396,0.4427,Democrat,50-64,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11397,0.7197,Democrat,18-29,College graduate or more,Suburban,Texas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
11398,0.4118,Democrat,65+,College graduate or more,Rural,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,Uses too much land
11399,1.3185,Independent,30-49,High school or less,Urban,Oklahoma,Strongly favor,Strongly favor,Strongly favor,No,Something else
11400,0.5284,Republican,65+,College graduate or more,Rural,Arkansas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Something else
11401,1.7011,Republican,30-49,High school or less,Rural,Missouri,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Uses too much land
11402,0.8127,Democrat,65+,High school or less,Rural,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,Yes,Uses too much land
11403,0.6288,Independent,50-64,Some college,Suburban,Oklahoma,Somewhat favor,Strongly oppose,Strongly oppose,No,Changes how the area looks
11404,0.3532,Republican,65+,College graduate or more,Suburban,Louisiana,Strongly oppose,Strongly oppose,Somewhat oppose,Yes,Doubts it is reliable
11405,0.8809,Independent,30-49,Some college,Urban,Louisiana,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
11406,1.1036,Republican,30-49,Some college,Rural,Texas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
11407,0.3831,Democrat,65+,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
11408,0.3491,Democrat,50-64,College graduate or more,Urban,Texas,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Uses too much land
11409,1.2244,Independent,30-49,Some college,Rural,Louisiana,Somewhat favor,Strongly favor,Strongly favor,No,Worried about property values
11410,0.4661,Democrat,65+,College graduate or more,Rural,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
11411,0.862,Independent,18-29,College graduate or more,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
11412,2.4424,Independent,18-29,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,Worried about property values
11413,0.4208,Democrat,65+,College graduate or more,Urban,Louisiana,Strongly favor,Somewhat oppose,Strongly favor,Yes,Worried about property values
11414,0.8619,Independent,30-49,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
11415,0.7708,Republican,30-49,Some college,Urban,Texas,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Changes how the area looks
11416,1.0858,Democrat,30-49,High school or less,Suburban,Missouri,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11417,1.1769,Democrat,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,Uses too much land
11418,0.9578,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Uses too much land
11419,0.907,Republican,50-64,Some college,Urban,Oklahoma,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
11420,0.7019,Independent,30-49,College graduate or more,Urban,Kansas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Something else
11421,0.7503,Republican,65+,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
11422,0.8412,Democrat,30-49,Some college,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
11423,0.948,Republican,50-64,High school or less,Suburban,Arkansas,Strongly favor,Strongly oppose,Strongly oppose,No,Doubts it is reliable
11424,1.453,Independent,30-49,High school or less,Rural,Arkansas,Strongly oppose,Somewhat oppose,Somewhat favor,Yes,Something else
11425,0.7847,Democrat,18-29,College graduate or more,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,Something else
11426,1.5039,Republican,18-29,Some college,Urban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
11427,2.3864,Republican,18-29,High school or less,Suburban,Arkansas,Strongly favor,Somewhat oppose,Strongly favor,Yes,Doubts it is reliable
11428,0.4512,Republican,50-64,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Strongly oppose,No,No concerns
11429,1.3924,Democrat,30-49,High school or less,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
11430,0.7211,Independent,50-64,Some college,Urban,Texas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Worried about property values
11431,0.7273,Republican,65+,Some college,Rural,Missouri,Strongly favor,Strongly oppose,Somewhat oppose,Yes,Changes how the area looks
11432,0.6167,Democrat,65+,High school or less,Suburban,Kansas,Somewhat favor,Strongly favor,Strongly oppose,No,Something else
11433,0.8207,Democrat,18-29,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
11434,1.1428,Independent,50-64,High school or less,Urban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
11435,0.5592,Republican,30-49,College graduate or more,Suburban,Kansas,Somewhat favor,Somewhat oppose,Strongly favor,No,Changes how the area looks
11436,0.4315,Independent,65+,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
11437,0.4562,Democrat,65+,High school or less,Suburban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,Something else
11438,0.9299,Republican,50-64,High school or less,Suburban,Oklahoma,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Uses too much land
11439,0.5896,Independent,65+,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Doubts it is reliable
11440,0.4956,Independent,65+,Some college,Urban,Missouri,Somewhat favor,Somewhat oppose,Strongly favor,No,Uses too much land
11441,0.7057,Republican,65+,High school or less,Urban,Texas,Somewhat oppose,Strongly oppose,Strongly favor,No,Worried about property values
11442,1.0069,Independent,65+,Some college,Rural,Kansas,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
11443,0.4166,Independent,65+,College graduate or more,Rural,Oklahoma,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Doubts it is reliable
11444,0.6216,Republican,65+,Some college,Suburban,Missouri,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Uses too much land
11445,0.5472,Republican,50-64,College graduate or more,Suburban,Kansas,Somewhat oppose,Somewhat favor,Somewhat oppose,No,Something else
11446,1.4035,Independent,30-49,High school or less,Rural,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
11447,1.5574,Democrat,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11448,0.8958,Independent,30-49,Some college,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat oppose,No,Worried about property values
11449,0.7782,Republican,30-49,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Uses too much land
11450,1.0549,Democrat,50-64,High school or less,Urban,Missouri,Somewhat favor,Somewhat favor,Somewhat favor,No,Uses too much land
11451,1.6045,Republican,30-49,High school or less,Suburban,Kansas,Somewhat favor,Strongly oppose,Strongly oppose,No,Something else
11452,0.882,Democrat,65+,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
11453,0.5413,Independent,50-64,College graduate or more,Suburban,Louisiana,Strongly oppose,Somewhat oppose,Strongly favor,Yes,Uses too much land
11454,1.5321,Republican,30-49,High school or less,Rural,Kansas,Somewhat oppose,Strongly oppose,Strongly oppose,No,Worried about property values
11455,0.3044,Independent,65+,College graduate or more,Suburban,Missouri,Strongly favor,Somewhat oppose,Strongly favor,No,Uses too much land
11456,0.683,Republican,30-49,College graduate or more,Rural,Missouri,Strongly favor,99,Somewhat oppose,No,Changes how the area looks
11457,0.3669,Independent,65+,College graduate or more,Urban,Missouri,Strongly favor,Somewhat favor,Somewhat favor,No,Changes how the area looks
11458,1.0519,Republican,50-64,High school or less,Suburban,Oklahoma,Strongly oppose,Somewhat favor,Strongly oppose,No,No concerns
11459,0.8748,Republican,65+,High school or less,Suburban,Missouri,Somewhat favor,Somewhat oppose,Strongly oppose,No,Changes how the area looks
11460,1.3774,Republican,30-49,High school or less,Urban,Texas,Strongly favor,Strongly oppose,Strongly oppose,No,Worried about property values
11461,0.8368,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,Uses too much land
11462,0.8747,Democrat,30-49,Some college,Suburban,Texas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Doubts it is reliable
11463,2.0013,Democrat,30-49,High school or less,Urban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,Uses too much land
11464,1.3237,Democrat,30-49,Some college,Rural,Texas,Strongly favor,99,Strongly favor,No,No concerns
11465,0.6774,Republican,50-64,Some college,Urban,Oklahoma,Somewhat favor,Somewhat oppose,Strongly oppose,No,Worried about property values
11466,0.5244,Republican,65+,Some college,Suburban,Oklahoma,Somewhat oppose,Strongly oppose,Strongly oppose,Yes,Something else
11467,0.2999,Independent,50-64,College graduate or more,Suburban,Missouri,Somewhat favor,Somewhat oppose,Somewhat favor,No,Doubts it is reliable
11468,0.4839,Democrat,30-49,College graduate or more,Suburban,Arkansas,Strongly favor,Strongly favor,Somewhat favor,No,Changes how the area looks
11469,0.95,Independent,65+,High school or less,Suburban,Missouri,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
11470,0.6653,Republican,65+,Some college,Urban,Texas,Strongly favor,Strongly favor,99,No,No concerns
11471,2.7827,Republican,18-29,High school or less,Urban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Worried about property values
11472,2.7195,Democrat,18-29,High school or less,Rural,Oklahoma,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
11473,0.8634,Republican,18-29,College graduate or more,Urban,Texas,Strongly oppose,Strongly favor,Somewhat oppose,Yes,No concerns
11474,0.9241,Democrat,30-49,Some college,Rural,Arkansas,Somewhat favor,Strongly favor,Strongly favor,Yes,No concerns
11475,1.4695,Republican,30-49,High school or less,Urban,Oklahoma,Strongly favor,Somewhat oppose,Strongly oppose,No,Worried about property values
11476,0.9536,Republican,30-49,Some college,Urban,Arkansas,Strongly oppose,Strongly oppose,Somewhat oppose,No,Changes how the area looks
11477,1.6617,Independent,30-49,High school or less,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,Something else
11478,2.6254,Democrat,18-29,High school or less,Rural,Louisiana,Strongly favor,Somewhat favor,Strongly favor,Yes,Uses too much land
11479,0.4457,Republican,50-64,College graduate or more,Suburban,Arkansas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
11480,1.0632,Republican,30-49,Some college,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat oppose,No,Worried about property values
11481,0.5917,Independent,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Strongly oppose,Strongly favor,No,Changes how the area looks
11482,1.0386,Independent,18-29,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,Yes,Something else
11483,0.4805,Republican,50-64,Some college,Urban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
11484,1.0245,Democrat,18-29,Some college,Suburban,Louisiana,Somewhat favor,Strongly favor,Strongly favor,Yes,No concerns
11485,0.9488,Independent,50-64,Some college,Urban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
11486,1.3704,Republican,30-49,High school or less,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
11487,0.6597,Independent,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
11488,1.9628,Republican,30-49,High school or less,Rural,Texas,Strongly oppose,Somewhat oppose,Strongly oppose,No,Uses too much land
11489,1.139,Republican,18-29,College graduate or more,Urban,Missouri,Strongly favor,Strongly oppose,Strongly favor,Yes,Something else
11490,1.3694,Republican,18-29,College graduate or more,Rural,Texas,Somewhat oppose,Strongly oppose,Strongly oppose,Yes,Changes how the area looks
11491,1.3677,Republican,30-49,High school or less,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,No concerns
11492,0.2692,Democrat,65+,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Worried about property values
11493,2.2658,Republican,18-29,High school or less,Suburban,Louisiana,Somewhat favor,Strongly oppose,Strongly oppose,Yes,Changes how the area looks
11494,0.5668,Republican,50-64,College graduate or more,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
11495,0.9822,Democrat,30-49,High school or less,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly favor,No,Something else
11496,1.2584,Independent,65+,High school or less,Urban,Missouri,Somewhat oppose,Strongly oppose,Strongly oppose,No,Uses too much land
11497,0.5284,Democrat,30-49,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11498,0.9725,Independent,65+,High school or less,Suburban,Oklahoma,Strongly favor,Somewhat oppose,Somewhat favor,No,Worried about property values
11499,0.5748,Independent,30-49,College graduate or more,Suburban,Missouri,Somewhat oppose,Strongly favor,Strongly favor,No,Something else
11500,0.3136,Independent,65+,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,Changes how the area looks
11501,0.4174,Democrat,65+,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
11502,1.1151,Democrat,30-49,High school or less,Rural,Oklahoma,Somewhat favor,Strongly oppose,Somewhat oppose,No,Changes how the area looks
11503,0.4049,Democrat,50-64,College graduate or more,Suburban,Arkansas,Strongly favor,99,Strongly favor,Yes,Uses too much land
11504,0.7032,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly favor,No,Changes how the area looks
11505,0.516,Democrat,30-49,College graduate or more,Urban,Louisiana,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11506,1.1041,Republican,30-49,Some college,Suburban,Texas,Somewhat oppose,Somewhat favor,Strongly oppose,No,No concerns
11507,1.0887,Independent,30-49,High school or less,Urban,Missouri,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
11508,0.3755,Republican,65+,College graduate or more,Urban,Oklahoma,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
11509,1.4581,Republican,50-64,High school or less,Urban,Arkansas,Somewhat oppose,Strongly favor,Strongly oppose,Yes,Changes how the area looks
11510,0.3233,Democrat,50-64,College graduate or more,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Uses too much land
11511,0.4159,Democrat,65+,Some college,Suburban,Texas,Somewhat favor,Strongly oppose,Somewhat favor,Yes,Uses too much land
11512,1.1087,Republican,30-49,Some college,Urban,Arkansas,Somewhat oppose,Strongly favor,Somewhat favor,Yes,Uses too much land
11513,1.7088,Republican,30-49,Some college,Urban,Texas,Strongly oppose,Somewhat favor,Strongly favor,No,Worried about property values
11514,0.711,Republican,30-49,College graduate or more,Urban,Oklahoma,Strongly favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
11515,0.4926,Independent,50-64,College graduate or more,Rural,Louisiana,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Doubts it is reliable
11516,1.1413,Independent,30-49,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
11517,1.0607,Independent,30-49,High school or less,Urban,Oklahoma,Strongly favor,Somewhat favor,Strongly oppose,No,Uses too much land
11518,1.2371,Democrat,30-49,High school or less,Suburban,Kansas,Somewhat favor,Somewhat favor,Somewhat oppose,No,No concerns
11519,0.4345,Independent,65+,College graduate or more,Suburban,Texas,Somewhat oppose,Somewhat favor,Somewhat oppose,No,Changes how the area looks
11520,0.4702,Republican,50-64,Some college,Urban,Louisiana,Somewhat oppose,Strongly oppose,Strongly oppose,Yes,Uses too much land
11521,0.6339,Republican,30-49,Some college,Urban,Texas,Strongly favor,Somewhat favor,Somewhat oppose,No,Uses too much land
11522,1.6298,Republican,18-29,Some college,Suburban,Texas,Somewhat oppose,Strongly favor,Somewhat oppose,No,No concerns
11523,0.3816,Democrat,50-64,College graduate or more,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
11524,0.8988,Republican,30-49,Some college,Rural,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,Yes,No concerns
11525,0.2737,Democrat,65+,College graduate or more,Urban,Missouri,Somewhat favor,Strongly favor,Somewhat favor,No,Something else
11526,1.0714,Democrat,50-64,High school or less,Rural,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,Uses too much land
11527,0.9915,Independent,18-29,College graduate or more,Urban,Texas,Strongly favor,99,Somewhat oppose,No,No concerns
11528,0.9297,Republican,65+,High school or less,Urban,Oklahoma,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Uses too much land
11529,1.6757,Independent,50-64,High school or less,Rural,Texas,Strongly favor,Strongly oppose,Somewhat oppose,No,Doubts it is reliable
11530,1.2529,Independent,30-49,High school or less,Suburban,Missouri,Strongly favor,Somewhat favor,Somewhat oppose,No,Uses too much land
11531,0.7466,Democrat,65+,High school or less,Urban,Texas,Strongly favor,Somewhat favor,Strongly favor,Yes,No concerns
11532,1.8233,Republican,18-29,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
11533,1.4317,Democrat,18-29,High school or less,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,No concerns
11534,0.9823,Independent,65+,High school or less,Urban,Texas,Somewhat favor,Strongly favor,Strongly favor,No,No concerns
11535,0.8374,Democrat,65+,High school or less,Suburban,Oklahoma,Somewhat favor,Somewhat oppose,Strongly oppose,No,Uses too much land
11536,1.5227,Republican,30-49,High school or less,Urban,Texas,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Uses too much land
11537,0.6565,Independent,30-49,College graduate or more,Suburban,Louisiana,Strongly favor,Somewhat oppose,Somewhat favor,No,Changes how the area looks
11538,0.9484,Republican,50-64,High school or less,Suburban,Texas,Somewhat oppose,Somewhat oppose,Strongly oppose,No,Worried about property values
11539,1.2864,Independent,30-49,Some college,Suburban,Oklahoma,Somewhat favor,99,Somewhat favor,No,Worried about property values
11540,1.33,Democrat,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
11541,2.1465,Independent,18-29,High school or less,Rural,Texas,Strongly oppose,Somewhat oppose,Somewhat favor,No,Worried about property values
11542,1.4113,Democrat,18-29,High school or less,Suburban,Oklahoma,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11543,0.7089,Republican,30-49,College graduate or more,Rural,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
11544,0.4283,Democrat,65+,College graduate or more,Rural,Texas,Somewhat favor,Strongly favor,Strongly favor,No,Uses too much land
11545,1.9682,Republican,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Worried about property values
11546,1.0192,Republican,50-64,Some college,Rural,Texas,Somewhat oppose,Strongly oppose,Strongly oppose,No,Uses too much land
11547,1.2382,Republican,30-49,High school or less,Suburban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Worried about property values
11548,0.2737,Democrat,65+,College graduate or more,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,Worried about property values
11549,1.0326,Republican,30-49,Some college,Suburban,Missouri,Strongly favor,Somewhat favor,Somewhat oppose,No,Changes how the area looks
11550,1.6672,Republican,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,99,Yes,Changes how the area looks
11551,0.8371,Democrat,30-49,Some college,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat favor,No,Something else
11552,0.4909,Democrat,65+,Some college,Urban,Missouri,Strongly favor,Somewhat oppose,Strongly favor,Yes,Changes how the area looks
11553,0.6479,Republican,65+,Some college,Suburban,Louisiana,Somewhat favor,Strongly oppose,Strongly favor,No,Worried about property values
11554,1.4193,Republican,18-29,Some college,Suburban,Kansas,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,Uses too much land
11555,0.6146,Democrat,65+,Some college,Rural,Oklahoma,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
11556,0.9247,Republican,30-49,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
11557,0.5313,Republican,30-49,College graduate or more,Suburban,Kansas,Strongly oppose,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
11558,1.4794,Democrat,30-49,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,Something else
11559,0.7233,Republican,65+,Some college,Suburban,Texas,Somewhat oppose,Strongly oppose,Strongly favor,Yes,Something else
11560,0.5869,Democrat,65+,High school or less,Suburban,Texas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Worried about property values
11561,1.8282,Democrat,18-29,Some college,Suburban,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
11562,0.4548,Democrat,30-49,College graduate or more,Urban,Oklahoma,Somewhat favor,Strongly favor,Strongly favor,No,Something else
11563,1.0688,Democrat,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
11564,1.4399,Republican,30-49,High school or less,Urban,Kansas,Somewhat favor,Somewhat favor,Somewhat favor,No,Changes how the area looks
11565,1.1116,Republican,50-64,High school or less,Suburban,Oklahoma,Strongly favor,Somewhat oppose,Strongly favor,No,Doubts it is reliable
11566,0.7345,Democrat,50-64,High school or less,Urban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
11567,0.9912,Republican,50-64,Some college,Rural,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
11568,0.6558,Independent,50-64,Some college,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
11569,0.7982,Independent,30-49,College graduate or more,Rural,Kansas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Changes how the area looks
11570,2.2334,Democrat,18-29,High school or less,Suburban,Missouri,Somewhat favor,Somewhat favor,Strongly favor,No,Worried about property values
11571,0.5747,Republican,65+,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Somewhat favor,No,Worried about property values
11572,1.8794,Independent,18-29,Some college,Suburban,Texas,Strongly oppose,Strongly favor,Somewhat oppose,Yes,Something else
11573,0.6517,Independent,65+,High school or less,Urban,Arkansas,Somewhat favor,Strongly favor,Somewhat favor,No,Something else
11574,0.6744,Republican,30-49,College graduate or more,Rural,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,Yes,Uses too much land
11575,0.4674,Republican,50-64,College graduate or more,Suburban,Oklahoma,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Worried about property values
11576,1.2582,Republican,50-64,High school or less,Suburban,Oklahoma,Strongly oppose,Strongly oppose,Somewhat favor,No,Doubts it is reliable
